
 num     #instances         #bytes  class name
 351:           280           8960  org.aspectj.weaver.Lint$Kind
 352:           373           8952  sun.reflect.generics.scope.ClassScope
 353:           101           8888  org.apache.catalina.webresources.CachedResource
 354:           363           8712  org.hibernate.loader.plan.exec.internal.EntityReferenceAliasesImpl
 355:           363           8712  org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor
 356:           363           8712  org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl
 357:           363           8712  org.hibernate.loader.plan.exec.process.internal.ResultSetProcessorImpl
 358:           541           8656  [Ljava.security.Principal;
 359:           541           8656  java.security.ProtectionDomain$Key
 360:           541           8656  org.springframework.beans.factory.support.MethodOverrides
 361:            36           8640  org.apache.catalina.core.StandardWrapper
 362:            49           8624  org.apache.tomcat.util.descriptor.web.WebXml
 363:           358           8592  org.apache.catalina.util.LifecycleSupport
 364:           355           8520  org.apache.juli.ClassLoaderLogManager$LogNode
 365:           354           8496  org.apache.ibatis.reflection.invoker.MethodInvoker
 366:           352           8448  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 367:           211           8440  org.apache.tomcat.util.bcel.classfile.ClassParser
 368:           105           8400  java.net.URI
 369:           205           8160  [Lorg.hibernate.type.Type;
 370:           254           8128  sun.reflect.generics.repository.ClassRepository
 371:           202           8080  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 372:           202           8080  org.springframework.beans.factory.support.DisposableBeanAdapter
 373:           202           8080  sun.nio.cs.UTF_8$Decoder
 374:           126           8064  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
 375:           336           8064  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 376:           246           7872  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 377:           163           7824  org.springframework.core.ResolvableType
 378:           122           7808  org.springframework.aop.framework.ProxyFactory
 379:           323           7752  org.hibernate.property.DirectPropertyAccessor$DirectGetter
 380:           323           7752  org.hibernate.property.DirectPropertyAccessor$DirectSetter
 381:           242           7744  java.security.Permissions
 382:           471           7680  [Lorg.springframework.web.bind.annotation.RequestMethod;
 383:           240           7680  java.io.FilePermission
 384:           315           7560  sun.reflect.NativeMethodAccessorImpl
 385:           312           7488  org.springframework.beans.BeanMetadataAttribute
 386:           233           7456  org.apache.log4j.ProvisionNode
 387:           307           7368  java.util.regex.Pattern$Slice
 388:           306           7344  org.springframework.core.annotation.AnnotationUtils$AnnotationCacheKey
 389:           414           7328  [Lorg.apache.catalina.LifecycleListener;
 390:           227           7264  java.io.DataInputStream
 391:           129           7224  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry
 392:           142           7184  [Lorg.hibernate.engine.spi.CascadeStyle;
 393:           128           7168  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry
 394:           112           7168  org.springframework.aop.framework.ProxyFactory
 395:            33           7128  org.hibernate.mapping.RootClass
 396:           220           7040  java.util.regex.Pattern$BnM
 397:           174           6960  javax.management.ObjectName
 398:           122           6832  sun.util.calendar.ZoneInfo
 399:           170           6800  com.sun.org.apache.xerces.internal.dom.DeferredTextImpl
 400:           425           6800  com.sun.proxy.$Proxy13
 401:           212           6784  org.apache.tomcat.util.modeler.ParameterInfo
 402:           211           6752  org.apache.tomcat.util.bcel.classfile.JavaClass
 403:           280           6720  org.springframework.beans.BeanMetadataAttribute
 404:           419           6704  org.springframework.beans.factory.support.MethodOverrides
 405:           119           6664  com.sun.org.apache.xerces.internal.dom.DeferredElementImpl
 406:            92           6656  [Ljavax.management.MBeanAttributeInfo;
 407:           276           6624  java.util.concurrent.ConcurrentLinkedQueue$Node
 408:           138           6624  org.springframework.beans.PropertyValue
 409:           244           6608  [Lorg.springframework.aop.Advisor;
 410:           206           6592  java.util.ResourceBundle$LoaderReference
 411:           274           6576  javax.management.ImmutableDescriptor
 412:           410           6560  java.util.Collections$UnmodifiableCollection
 413:           136           6528  cn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$SoftKeyReference
 414:           136           6528  cn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$SoftValueReference
 415:           408           6528  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 416:           202           6464  com.sun.jmx.mbeanserver.ConvertingMethod
 417:           269           6456  java.io.ExpiringCache$Entry
 418:           269           6456  java.util.concurrent.ConcurrentLinkedQueue
 419:           201           6432  javax.management.MBeanParameterInfo
 420:           160           6352  [Lcn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 421:            18           6336  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 422:            72           6336  org.aspectj.weaver.ResolvedType$Primitive
 423:            66           6336  org.hibernate.loader.entity.CascadeEntityLoader
 424:           335           6280  [Lorg.aspectj.weaver.ResolvedType;
 425:           157           6280  java.lang.ClassNotFoundException
 426:           387           6192  sun.reflect.DelegatingMethodAccessorImpl
 427:           192           6144  org.apache.log4j.ProvisionNode
 428:           128           6144  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS
 429:           128           6144  org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS
